Codigo,Clave,Descripcion,Adelitas,Adelitas,San Agustin,San Agustin,Matriz,Matriz,Berriozabal,Berriozabal,H Ilustres,H Ilustres
Codigo,Clave,Descripcion,Inv,Class,Inv,Class,Inv,Class,Inv,Class,Inv,Class
21140,TRU CHMA-4P,CHIFLON PLASTICO P/MANGUERA CHMA-4P PRET,6,C,2,B,3,A,7,A,0,Sin Mov
15594,TRU LL-2016,LLAVE COMBINADA(STANDAR) LL-2016 (LL-121,1,C,5,A,0,A,6,C,0,Sin Mov
1938,DIA R875P500,RESANADOR P/MADERA 875 PINO 1/2 LTO.,0,B,4,C,7,A,5,C,0,Sin Mov
PSV-B012,COF PSV-B012,PAQUETE P/INSTALACION DE LAVABO COFLEX P,0,Sin Mov,5,Sin Mov,0,A,0,Sin Mov,0,Sin Mov
2294,FTF RR2294,REGATON DE HULE FAMA REDONDO 2294 1,0,Sin Mov,5,C,2,A,0,Sin Mov,0,Sin Mov
11474,TRU BROU-RM 11/2X,BROCA P/RAUTER BROU-RM1-1/2X REDONDEADOR,0,Sin Mov,5,C,3,B,0,Sin Mov,0,Sin Mov
11139,TRU CHA-14NC,CAJA P/HERRAMIENTA 14 CHA-14NC TRUPER C/,0,Sin Mov,5,C,3,A,0,C,0,Sin Mov
12746,TRU BAV-1/4-B,BROCA P/FIERRO BLISTER 09 1/4-B TRUPER B,0,C,0,Sin Mov,10,A,9,A,5,Sin Mov
14462,TRU NL-8,CUCHILLO P/LINOLEO CURVO D/19CM NL-8 TRU,2,B,3,B,0,A,5,B,5,C
15705,TRU DLTP-45120,DISCO LAMINADO 4 1/2 X7/8 G-120 DLTP-451,2,B,0,A,1,A,0,A,5,Sin Mov
17002,TRU CULI-6,CUCHILLO P/LINOLEO RECTO D/18CM TRUPER C,7,B,7,A,8,A,6,A,5,Sin Mov
25074,TRU FL-9NP,FLOTA DE HULE 9 1/2 LISA FL-9NP PRETUL,0,Sin Mov,3,B,2,A,0,B,5,C
48049,TRU ER-20X16,VOLTECK EXTENCION USO RUDO 20 MTS. ER-20,5,A,2,A,0,A,0,B,5,C
44019,TRU CIN-20C,CINCHO D/PLASTICO CIN- 20C C/200 PZAS,0,C,0,Sin Mov,0,A,1,Sin Mov,0,Sin Mov
49389,TRU MMP-100,MANERAL FOSET BASIC MMP-100 2 PZAS. P/LA,0,Sin Mov,0,Sin Mov,2,B,5,C,0,Sin Mov
14054,TRU HIL-165R,HILO P/ALBAÑIL TRUPER GRANDE HIL-165R 16,4,A,4,A,1,A,5,C,0,Sin Mov
12856,TRU COT-32,CORTADOR D/TUBO COT-32 TRUPER 1 1/4,3,B,2,A,4,A,5,C,0,Sin Mov
49214,TRU MM-900,MANERAL FOSET BASIC MM-900 2 PZAS. METAL,0,Sin Mov,3,A,2,B,5,Sin Mov,0,Sin Mov
AB-I80,COF AB-I80,ALIM. COFLEX ACERO P/BOILER 1/2 X 1/2 X,0,C,0,B,0,A,5,Sin Mov,0,Sin Mov
15H727GI,GME SNG.35,SEDAL P/PESCA NATURAL GIMEX . 35MM X 100,0,Sin Mov,0,Sin Mov,0,B,5,Sin Mov,0,Sin Mov
2072,IAD 2072,VENTILADOR ADIR 2072 IND. C/PEDESTAL ALT,7,B,0,B,3,A,5,C,0,Sin Mov
001403-4,BER 1403-4,BERALKID BARNIZ ENTINTADO 1403 ROBLE CLA,4,C,8,B,8,A,5,B,7,Sin Mov
18401,TRU TR-82,CORTADOR P/RAMAS ALTAS S/MANGO TR-82 TRU,1,B,3,A,6,A,1,C,0,Sin Mov
17543,TRU CAP-3008T,CABLE PASA CORRIENTE TRUPER CAP-3008T,2,B,0,B,0,A,1,C,0,Sin Mov
18262,TRU CLANEU-18-20,TRUPER CLANEU-18-20/CLNEU-2-20 3/4 CLAVO,5,C,4,B,3,A,5,Sin Mov,0,Sin Mov
18165,TRU STCX-12,SERROTE TRUPER DE COSTILLA STCX-12 DIAM.,5,Sin Mov,3,B,1,B,4,Sin Mov,0,Sin Mov
10375,TRU AD-2X,ADAPTADOR Y P/2 MANGUERAS AD-2X TRUPER,5,C,7,A,1,A,4,C,0,Sin Mov
TS6112-4,BER TS6112-4,MANCHA EARLY AMERICAN LITRO TS6112-4,5,C,3,C,0,B,6,Sin Mov,4,C
000616-5,BER 616-5,PINTURA ESMALTE SUMMA 616 4 LTS.,5,C,3,Sin Mov,0,B,3,Sin Mov,2,C
17480,TRU PR-302,PISTOLA P/JARDIN PR-302 2 FUNCIONES,4,C,3,C,4,A,2,B,0,Sin Mov
19195,TRU SP-AIR,SOPLETE DE AIRE LIM. D/LIQUIDOS TRUPER,5,C,8,B,3,B,3,Sin Mov,0,Sin Mov
19621,TRU DTJ-6B,DESARMADOR DE 6 PZAS. C/MANGO GRIP DTJ-,5,Sin Mov,2,A,2,A,3,C,0,Sin Mov
57093,TRU EA-43,CERA EN PASTA ACRILICA KLINTEK EA-43,5,C,2,Sin Mov,3,B,0,Sin Mov,0,Sin Mov
44016,TRU BCIN-1000,CINCHO D/PLASTICO BCIN-1000 BOTE C/1000,5,C,0,Sin Mov,0,B,1,A,0,Sin Mov
43602,TRU CERO-32,CERRADURA HERMEX CERO-32 SEG. LL/LL CROM,5,C,4,A,0,A,5,A,0,Sin Mov
19281,TRU SU-675R,SUJETADOR C/MATRACA TRUPER 675K. SU- 67,5,C,2,A,0,A,3,B,0,Sin Mov
44536,TRU R-612B,REMACHE R-612B 3/16-3/4 C/50 PZS. FIERO,5,C,6,B,0,A,6,B,0,Sin Mov
49370,TRU CE-233,CESPOL FOSET FLEXIBLE CE-233 PVC P/FREGA,5,C,3,A,0,A,9,A,0,Sin Mov
12123,TRU BES-9,BROCA TRUPER ESCALONADA 74MM 1/4-3/4 BES,5,C,2,B,2,A,0,B,0,Sin Mov
14125,TRU DJ-5/16,DESARMADOR DE CAJA 5/16 DJ-5/16 TRUPER,5,C,6,A,3,A,6,B,0,Sin Mov
